impressions,clicks,spent,CTR,Avg CPC,App Install,total_conversion
175389,55,81.60999787,0.000314,1.484,21,1
7015,0,0,0,0,0,0
12706,3,4.98999989,0.000236,1.663,0,1
70702,20,31.7099998,0.000283,1.585,9,1
63927,16,25.52000046,0.00025,1.595,6,2
15105,3,4.25999999,0.000199,1.42,0,1
8774,1,1.830000043,0.000114,1.83,0,1
14459,1,1.389999986,0.000069,1.39,0,1
21596,2,2.809999943,0.000093,1.405,0,1
66765,8,11.04999971,0.00012,1.381,1,1
1369,0,0,0,0,0,0
26910,5,7.229999781,0.000186,1.446,1,1
506,0,0,0,0,0,0
11988,3,4.269999862,0.00025,1.423,0,1
19353,6,9.4799999,0.00031,1.58,1,1
10960,2,2.890000105,0.000182,1.445,0,1
33491,6,10.56999969,0.000179,1.762,1,2
20083,2,3.200000048,0.0001,1.6,0,2
8817,0,0,0,0,0,0
15466,1,0.970000029,0.000065,0.97,0,1
27072,3,4.370000005,0.000111,1.457,0,1
15753,1,0.569999993,0.000063,0.57,0,1
3523,1,1.809999943,0.000284,1.81,0,1
7745,0,0,0,0,0,0
18709,2,3.319999933,0.000107,1.66,0,1
8022,0,0,0,0,0,0
7966,1,1.179999948,0.000126,1.18,0,1
4132,0,0,0,0,0,0
12785,3,4.730000019,0.000235,1.577,0,2
8213,1,1.379999995,0.000122,1.38,0,1
545,0,0,0,0,0,0
2479,1,1.25999999,0.000403,1.26,0,1
3812,2,3.049999952,0.000525,1.525,0,1
1609,0,0,0,0,0,0
10257,3,3.579999924,0.000292,1.193,0,1
12356,4,6.279999971,0.000324,1.57,1,1
7410,1,1.210000038,0.000135,1.21,0,1
140098,28,46.63000011,0.0002,1.665,9,1
107021,20,34.44000012,0.000187,1.722,9,1
2797,1,1.289999962,0.000358,1.29,0,1
16461,6,9.21999979,0.000364,1.537,1,1
17488,5,7.719999909,0.000286,1.544,0,1
9750,2,1.5,0.000205,0.75,0,1
1136,0,0,0,0,0,0
4333,1,0.180000007,0.000231,0.18,0,1
6260,0,0,0,0,0,0
6359,0,0,0,0,0,0
2383,0,0,0,0,0,0
11292,3,5.389999866,0.000266,1.797,0,1
12729,4,5.779999852,0.000314,1.445,0,1
1898,0,0,0,0,0,0
1882,0,0,0,0,0,0
2883,1,0.99000001,0.000347,0.99,0,1
3989,1,1.279999971,0.000251,1.28,0,1
19603,4,5.279999971,0.000204,1.32,0,1
3047,1,1.379999995,0.000328,1.38,0,1
3029,1,1.049999952,0.00033,1.05,0,1
3490,1,1.340000033,0.000287,1.34,0,1
2479,0,0,0,0,0,0
19581,7,10.42999983,0.000357,1.49,1,2
19537,5,6.099999905,0.000256,1.22,0,1
59433,12,19.65999949,0.000202,1.638,2,3
157534,33,56.19000077,0.000209,1.703,12,2
1781,0,0,0,0,0,0
23769,4,6.029999852,0.000168,1.507,0,1
7101,0,0,0,0,0,0
4726,1,1.830000043,0.000212,1.83,0,1
5209,1,0.959999979,0.000192,0.96,0,2
13473,3,2.619999945,0.000223,0.873,0,3
500,0,0,0,0,0,0
4616,1,1.360000014,0.000217,1.36,0,1
3279,0,0,0,0,0,0
3288,0,0,0,0,0,0
14615,4,6.050000191,0.000274,1.513,0,1
56615,12,19.88000035,0.000212,1.657,2,2
11735,3,4.529999971,0.000256,1.51,0,1
15910,5,6.779999852,0.000314,1.356,1,1
11446,2,3.090000033,0.000175,1.545,0,1
4595,0,0,0,0,0,0
4871,0,0,0,0,0,0
3199,0,0,0,0,0,0
9388,2,3.140000105,0.000213,1.57,0,1
17954,6,7.5400002,0.000334,1.257,1,2
2755,0,0,0,0,0,0
8152,1,0.99000001,0.000123,0.99,0,1
74542,19,34.1500001,0.000255,1.797,4,1
6699,2,3.090000033,0.000299,1.545,0,1
11911,4,3.959999919,0.000336,0.99,1,1
10090,2,2.650000095,0.000198,1.325,2,1
1273,0,0,0,0,0,0
24188,5,8.179999828,0.000207,1.636,1,1
2214,0,0,0,0,0,0
9735,4,4.130000114,0.000411,1.033,0,1
1371,0,0,0,0,0,0
10750,4,5.389999866,0.000372,1.347,1,1
7629,1,0.720000029,0.000131,0.72,0,1
4608,0,0,0,0,0,0
3732,0,0,0,0,0,0
7453,1,1.679999948,0.000134,1.68,0,1
41785,14,19.10000038,0.000335,1.364,5,1
8077,2,3.579999924,0.000248,1.79,0,1
5602,1,1.580000043,0.000179,1.58,0,1
6184,2,2.75,0.000323,1.375,0,1
1738,0,0,0,0,0,0
112460,25,41.29000068,0.000222,1.652,8,1
4414,0,0,0,0,0,0
14670,7,9.410000324,0.000477,1.344,2,1
33144,9,13.40999985,0.000272,1.49,4,1
4397,1,0.949999988,0.000227,0.95,0,1
1006,0,0,0,0,0,0
89527,24,32.28999996,0.000268,1.345,10,1
2459,0,0,0,0,0,0
7116,2,1.730000019,0.000281,0.865,0,1
8613,1,0.889999986,0.000116,0.89,0,2
9730,1,1.379999995,0.000103,1.38,0,1
51816,8,10.2299999,0.000154,1.279,2,2
27289,3,4.429999828,0.00011,1.477,3,1
20409,4,3.829999924,0.000196,0.957,1,1
8044,1,1.110000014,0.000124,1.11,0,1
15645,4,5.349999905,0.000256,1.337,2,1
2466,0,0,0,0,0,0
11611,3,3.950000048,0.000258,1.317,0,1
9375,3,4.019999981,0.00032,1.34,0,1
4402,1,1.330000043,0.000227,1.33,0,1
8469,2,3.089999914,0.000236,1.545,0,1
5823,1,1.419999957,0.000172,1.42,0,1
2549,0,0,0,0,0,0
25817,4,6.019999981,0.000155,1.505,1,1
1961,0,0,0,0,0,0
2554,0,0,0,0,0,0
4971,1,1.230000019,0.000201,1.23,0,1
1030,0,0,0,0,0,0
162341,56,77.07999969,0.000345,1.376,12,3
24542,7,9.329999924,0.000285,1.333,0,1
2879,0,0,0,0,0,0
13621,3,4.090000033,0.00022,1.363,0,1
6175,1,1.370000005,0.000162,1.37,0,2
2963,0,0,0,0,0,0
9076,1,1.379999995,0.00011,1.38,0,1
20941,4,5.909999967,0.000191,1.477,0,1
3462,0,0,0,0,0,0
4073,0,0,0,0,0,0
3745,0,0,0,0,0,0
830,0,0,0,0,0,0
2912,0,0,0,0,0,0
17167,5,6.910000086,0.000291,1.382,0,1
24491,7,9.539999962,0.000286,1.363,0,1
44699,13,17.30000037,0.000291,1.331,5,2
6469,2,1.309999943,0.000309,0.655,0,1
16053,3,4.079999924,0.000187,1.36,0,1
54724,12,17.92999995,0.000219,1.494,4,1
4706,1,1.220000029,0.000212,1.22,0,1
8316,3,4.569999933,0.000361,1.523,0,1
5794,2,2.269999981,0.000345,1.135,0,1
4813,1,1.029999971,0.000208,1.03,0,1
85285,26,36.13000035,0.000305,1.39,9,1
5839,1,1.370000005,0.000171,1.37,0,1
5859,1,1.539999962,0.000171,1.54,0,1
164118,41,59.06999993,0.00025,1.441,9,1
18234,6,7.810000062,0.000329,1.302,0,1
2755,0,0,0,0,0,0
73676,20,28.5,0.000271,1.425,9,1
18421,7,10.07999992,0.00038,1.44,0,1
164754,49,67.97999978,0.000297,1.387,12,2
7449,1,1.639999986,0.000134,1.64,0,1
6424,1,0.529999971,0.000156,0.53,0,1
2086,0,0,0,0,0,0
6016,0,0,0,0,0,0
6412,1,1.370000005,0.000156,1.37,0,1
5040,1,1.440000057,0.000198,1.44,0,1
1772,0,0,0,0,0,0
1783,0,0,0,0,0,0
8200,3,3.919999957,0.000366,1.307,0,1
115896,38,49.44000006,0.000328,1.301,12,1
10186,1,1.230000019,0.000098,1.23,0,1
9134,3,4.180000067,0.000328,1.393,0,2
3385,1,1.440000057,0.000295,1.44,0,1
1314,0,0,0,0,0,0
2916,0,0,0,0,0,0
6142,1,1.330000043,0.000163,1.33,0,1
1984,0,0,0,0,0,0
9142,3,3.749999881,0.000328,1.25,0,1
5475,2,2.730000019,0.000365,1.365,0,1
8254,2,2.320000052,0.000242,1.16,0,1
5704,1,1.320000052,0.000175,1.32,0,1
7301,0,0,0,0,0,0
37873,5,6.169999957,0.000132,1.234,0,1
25267,4,4.940000057,0.000158,1.235,0,2
535,0,0,0,0,0,0
3396,0,0,0,0,0,0
977,0,0,0,0,0,0
12318,5,6.340000153,0.000406,1.268,0,1
4783,1,0.860000014,0.000209,0.86,0,1
6475,1,1.350000024,0.000154,1.35,0,1
104578,29,39.25000095,0.000277,1.353,11,1
33664,11,12.51000035,0.000327,1.137,5,1
979,0,0,0,0,0,0
7337,3,4.079999924,0.000409,1.36,0,1
2499,0,0,0,0,0,0
11244,3,4.550000191,0.000267,1.517,0,1
4827,0,0,0,0,0,0
29035,7,8.910000086,0.000241,1.273,0,2
761,0,0,0,0,0,0
6532,1,1.610000014,0.000153,1.61,0,1
11537,3,4.300000191,0.00026,1.433,0,1
12183,3,2.869999945,0.000246,0.957,0,1
5912,1,1.559999943,0.000169,1.56,0,1
4012,1,1.570000052,0.000249,1.57,0,1
12396,2,3.210000038,0.000161,1.605,0,2
3142,0,0,0,0,0,0
1120,0,0,0,0,0,0
343,0,0,0,0,0,0
1720,0,0,0,0,0,0
3423,0,0,0,0,0,0
3242,0,0,0,0,0,0
15720,1,1.379999995,0.000064,1.38,0,1
1217,0,0,0,0,0,0
2367,2,2.839999914,0.000845,1.42,0,1
6607,1,1.320000052,0.000151,1.32,0,2
616,0,0,0,0,0,0
5537,1,1.519999981,0.000181,1.52,0,1
818,0,0,0,0,0,0
1909,1,0.980000019,0.000524,0.98,0,1
351,0,0,0,0,0,0
572,0,0,0,0,0,0
1884,1,1.409999967,0.000531,1.41,0,1
219,0,0,0,0,0,0
540,0,0,0,0,0,0
550,0,0,0,0,0,0
465,0,0,0,0,0,0
1761,0,0,0,0,0,0
152,0,0,0,0,0,0
152,0,0,0,0,0,0
429,0,0,0,0,0,0
1514,0,0,0,0,0,0
7780,3,4.329999924,0.000386,1.443,0,2
460,0,0,0,0,0,0
471,0,0,0,0,0,0
2633,1,1.070000052,0.00038,1.07,0,1
199,0,0,0,0,0,0
398,0,0,0,0,0,0
246,0,0,0,0,0,0
2967,1,1.5,0.000337,1.5,0,1
255,0,0,0,0,0,0
457,0,0,0,0,0,0
5517,1,1.230000019,0.000181,1.23,0,1
1539,0,0,0,0,0,0
3189,0,0,0,0,0,0
3348,0,0,0,0,0,0
20050,4,4.659999847,0.0002,1.165,0,4
2254,0,0,0,0,0,0
5894,1,1.539999962,0.00017,1.54,0,1
9948,2,2.720000029,0.000201,1.36,0,2
5307,3,4.289999962,0.000565,1.43,0,2
4621,2,3.25,0.000433,1.625,0,1
784,0,0,0,0,0,0
5775,1,1.580000043,0.000173,1.58,0,1
9297,2,2.619999886,0.000215,1.31,0,2
699,0,0,0,0,0,0
1104,0,0,0,0,0,0
3717,1,1.539999962,0.000269,1.54,0,1
2879,1,1.590000033,0.000347,1.59,0,2
2749,1,1.389999986,0.000364,1.39,0,1
24028,9,12.39000034,0.000375,1.377,4,2
1118,0,0,0,0,0,0
1083,0,0,0,0,0,0
843,0,0,0,0,0,0
2983,1,0.970000029,0.000335,0.97,0,1
696,0,0,0,0,0,0
7589,2,3.150000095,0.000264,1.575,0,1
20997,10,11.94999981,0.000476,1.195,2,1
4617,1,1.360000014,0.000217,1.36,0,1
259,0,0,0,0,0,0
1134,0,0,0,0,0,0
357,0,0,0,0,0,0
848,0,0,0,0,0,0
3149,1,1.480000019,0.000318,1.48,0,1
87,0,0,0,0,0,0
2563,1,1.480000019,0.00039,1.48,0,1
1107,0,0,0,0,0,0
10677,5,7.269999981,0.000468,1.454,0,1
2189,1,0.409999996,0.000457,0.41,0,1
3277,2,2.680000067,0.00061,1.34,0,1
781,0,0,0,0,0,0
2226,0,0,0,0,0,0
16274,4,6.079999924,0.000246,1.52,0,2
2077,1,1.50999999,0.000481,1.51,0,1
529,0,0,0,0,0,0
487,0,0,0,0,0,0
4626,2,2.099999905,0.000432,1.05,0,2
2764,1,1.559999943,0.000362,1.56,0,1
5447,2,2.960000038,0.000367,1.48,0,1
28169,8,12.36999989,0.000284,1.546,2,1
415,0,0,0,0,0,0
810,0,0,0,0,0,0
1194718,141,254.049996,0.000118,1.802,15,28
637648,67,122.4,0.000105,1.827,14,13
24362,0,0,0,0,0,0
459690,50,86.33000112,0.000109,1.727,12,5
750060,86,161.9099991,0.000115,1.883,5,11
30068,1,1.820000052,0.000033,1.82,0,1
1267550,123,236.7699986,0.000097,1.925,11,24
3052003,340,639.9499981,0.000111,1.882,80,60
29945,1,1.590000033,0.000033,1.59,0,2
357856,30,52.97000015,0.000084,1.766,10,7
2080666,202,360.1500015,0.000097,1.783,47,40
145999,9,16.5200001,0.000062,1.836,2,5
32616,1,1.539999962,0.000031,1.54,0,2
984521,95,163.8999972,0.000096,1.725,9,26
880814,123,210.3600006,0.00014,1.71,11,6
182452,20,35.73000026,0.00011,1.787,15,4
894911,120,215.8399994,0.000134,1.799,10,7
31349,2,3.800000072,0.000064,1.9,0,1
410310,55,96.80000055,0.000134,1.76,15,3
572450,89,157.329998,0.000155,1.768,21,7
98759,15,26.56999946,0.000152,1.771,0,1
345371,54,93.08999991,0.000156,1.724,18,7
323899,46,78.9200002,0.000142,1.716,12,5
399199,58,103.1500002,0.000145,1.778,16,3
171202,22,36.53000021,0.000129,1.66,12,3
128386,15,28.85000002,0.000117,1.923,0,2
1034284,152,257.7099986,0.000147,1.695,17,20
45923,5,7.220000148,0.000109,1.444,0,2
40873,4,7.899999976,0.000098,1.975,0,2
286553,34,62.06000042,0.000119,1.825,10,2
20618,1,2.099999905,0.000049,2.1,0,2
83591,7,14.14000046,0.000084,2.02,0,2
114923,12,23.73000026,0.000104,1.978,0,4
25002,1,1.710000038,0.00004,1.71,0,1
68905,5,9.440000057,0.000073,1.888,0,1
169588,16,27.79999924,0.000094,1.737,8,1
328991,35,67.65000057,0.000106,1.933,19,5
23198,2,2.980000019,0.000086,1.49,2,1
26890,2,3.24000001,0.000074,1.62,2,1
221695,31,52.26000011,0.00014,1.686,12,5
88443,7,13.0400002,0.000079,1.863,5,1
187856,23,38.38999975,0.000122,1.669,2,5
570699,80,138.7699997,0.00014,1.735,5,9
1063508,145,260.3800013,0.000136,1.796,13,23
50523,6,8.549999952,0.000119,1.425,0,1
87935,9,15.63000023,0.000102,1.737,0,1
278225,33,60.19999957,0.000119,1.824,17,3
209461,20,34.19000006,0.000095,1.71,4,1
26316,2,3.24000001,0.000076,1.62,0,3
41030,3,5.140000105,0.000073,1.713,0,2
876671,120,216.5599982,0.000137,1.805,13,22
399392,53,93.07000041,0.000133,1.756,19,5
283858,30,56.05999923,0.000106,1.869,12,1
260699,31,54.09999871,0.000119,1.745,12,5
57781,5,7.800000072,0.000087,1.56,0,2
38757,3,5.220000029,0.000077,1.74,0,1
1392288,206,358.5500029,0.000148,1.741,76,31
1109387,159,280.9899995,0.000143,1.767,11,13
581281,65,115.1200008,0.000112,1.771,19,10
1048861,128,219.770002,0.000122,1.717,11,22
297452,30,52.01999986,0.000101,1.734,10,4
227925,22,35.30999994,0.000097,1.605,2,22
374175,38,63.32000101,0.000102,1.666,12,8
223586,32,54.24000037,0.000143,1.695,12,1
283170,39,65.22999996,0.000138,1.673,12,2
41636,3,4.210000038,0.000072,1.403,0,1
198658,30,48.60999978,0.000151,1.62,12,8
100596,10,13.91999972,0.000099,1.392,5,4
64020,5,11.0599997,0.000078,2.212,0,1
14289,0,0,0,0,0,0
404866,43,87.42000079,0.000106,2.033,12,4
22256,1,1.659999967,0.000045,1.66,0,1
57690,4,6.74000001,0.000069,1.685,0,1
24952,5,8.220000267,0.0002,1.644,0,3
38900,3,5.580000043,0.000077,1.86,0,1
53520,6,9.2299999,0.000112,1.538,0,1
181683,20,34.22999972,0.00011,1.711,4,2
29185,2,3.149999976,0.000069,1.575,0,1
105047,13,20.2099994,0.000124,1.555,2,3
287976,31,59.43999982,0.000108,1.917,16,3
212175,22,38.58999968,0.000104,1.754,6,2
11139,0,0,0,0,0,0
124005,11,21.84999979,0.000089,1.986,2,4
20423,1,1.960000038,0.000049,1.96,0,1
103001,14,22.32000005,0.000136,1.594,0,1
447420,66,110.2399991,0.000148,1.67,14,7
156101,19,29.75000048,0.000122,1.566,1,2
93015,12,18.47000015,0.000129,1.539,0,1
145398,23,36.24000025,0.000158,1.576,4,1
296413,50,76.43999958,0.000169,1.529,17,3
9370,0,0,0,0,0,0
63785,7,11.80000019,0.00011,1.686,0,6
118522,14,26.81999981,0.000118,1.916,4,2
240123,38,65.67000115,0.000158,1.728,5,5
169108,20,32.24000025,0.000118,1.612,12,2
1044442,142,245.5999999,0.000136,1.73,11,22
93891,11,17.6400001,0.000117,1.604,0,5
185823,25,38.54999936,0.000135,1.542,5,4
175631,23,40.75999951,0.000131,1.772,3,1
37187,4,6.370000005,0.000108,1.593,0,1
10991,0,0,0,0,0,0
344618,51,89.76000047,0.000148,1.76,12,3
98066,9,16.1500001,0.000092,1.794,0,1
770749,100,189.1299984,0.00013,1.891,9,13
52553,5,8.529999852,0.000095,1.706,0,1
362296,39,67.77000129,0.000108,1.738,16,7
427729,50,96.8999989,0.000117,1.938,19,4
180351,21,37.13000011,0.000116,1.768,12,1
187329,29,53.15999961,0.000155,1.833,12,2
782894,118,192.9299995,0.000151,1.635,11,5
1206533,128,236.1199988,0.000106,1.845,12,17
84494,7,12.57000017,0.000083,1.796,0,2
94257,7,12.5800004,0.000074,1.797,0,1
131060,16,28.04999959,0.000122,1.753,8,2
341603,50,83.48000121,0.000146,1.67,21,4
140749,19,30.4799999,0.000135,1.604,5,1
102525,13,20.29999983,0.000127,1.562,0,2
447952,68,131.5799983,0.000152,1.935,18,8
76355,9,14.62999988,0.000118,1.626,0,2
256598,38,64.46999931,0.000148,1.697,12,6
127476,21,30.15000057,0.000165,1.436,19,3
237603,37,62.25000024,0.000156,1.682,12,5
271091,42,78.03999984,0.000155,1.858,16,3
21743,2,3.400000095,0.000092,1.7,0,1
88970,10,14.8300004,0.000112,1.483,0,2
108362,13,22.42999983,0.00012,1.725,3,1
188596,27,44.14000034,0.000143,1.635,9,3
275080,43,69.65999997,0.000156,1.62,19,4
64647,10,16.26999998,0.000155,1.627,2,1
31265,4,5.789999902,0.000128,1.447,0,1
140147,24,42.08000016,0.000171,1.753,5,2
223120,40,67.66999984,0.000179,1.692,10,1
104869,18,34.07000089,0.000172,1.893,0,1
165177,23,41.71999967,0.000139,1.814,3,4
84194,11,19.56999981,0.000131,1.779,0,1
220581,31,57.37,0.000141,1.851,5,1
75804,10,17.36999965,0.000132,1.737,2,2
368986,59,100.289999,0.00016,1.7,18,0
28194,3,3.709999919,0.000106,1.237,0,2
99961,14,23.2099998,0.00014,1.658,3,1
7573,0,0,0,0,0,0
